,age,daily_active_minutes_instagram,self_reported_happiness
156497,55,224.0,8
123912,34,348.0,1
181413,65,162.0,7
65364,38,217.0,9
54463,46,235.0,5
54828,57,145.0,8
96289,48,347.0,2
182481,32,288.0,8
121165,56,110.0,7
96710,28,140.0,7
48676,13,236.0,10
87580,28,432.0,1
57057,35,386.0,5
99324,43,5.0,8
140298,59,153.0,7
61295,50,35.0,9
192325,57,83.0,10
145410,40,249.0,6
121257,44,261.0,2
28619,49,230.0,1
14396,15,129.0,4
144765,23,181.0,9
136610,34,240.0,7
41823,16,363.0,7
64980,34,258.0,2
16887,21,16.0,6
27650,41,193.0,7
36586,32,248.0,1
82566,18,95.0,6
69995,17,242.0,9
59180,36,187.0,4
108413,36,5.0,6
177073,30,394.0,8
9,35,196.0,10
142043,41,179.0,3
123961,58,5.0,9
30465,17,232.0,6
16943,13,227.0,1
41958,21,237.0,8
4839,54,102.0,8
187086,47,407.0,3
107646,19,334.0,3
48304,13,389.0,5
21450,64,5.0,10
69113,27,314.0,8
75392,30,188.0,9
115506,52,5.0,5
172393,45,384.0,4
45422,38,156.0,8
171339,48,259.0,2
16026,58,5.0,10
28186,58,102.0,10
86551,32,336.0,1
137321,22,66.0,8
71486,25,181.0,7
168018,42,5.0,8
102395,46,182.0,6
84201,65,133.0,1
116620,34,214.0,8
98698,41,361.0,2
180285,48,273.0,8
98477,16,69.0,5
99758,52,278.0,2
74080,23,164.0,1
160981,37,255.0,5
28238,22,94.0,9
45923,38,75.0,10
64120,25,96.0,7
16329,20,299.0,5
170980,44,161.0,2
96549,63,295.0,8
28607,40,186.0,6
142804,29,347.0,3
3822,60,5.0,9
77811,40,93.0,3
72197,23,405.0,3
127053,30,134.0,6
4379,28,44.0,8
173610,59,5.0,7
140942,57,132.0,7
123005,50,167.0,10
179835,19,456.0,1
160614,57,84.0,5
170199,33,326.0,1
64082,38,220.0,6
137929,22,309.0,4
54473,53,5.0,7
181296,31,300.0,4
112876,15,415.0,3
68786,33,259.0,3
118977,65,49.0,5
115357,15,451.0,1
361,57,67.0,3
176773,18,283.0,1
106179,38,34.0,8
198649,47,110.0,3
164583,19,364.0,4
45697,63,181.0,6
144159,51,290.0,6
2033,20,308.0,10
89798,41,63.0,3
143914,32,188.0,3
113360,64,5.0,8
149045,58,205.0,4
63522,13,179.0,2
83453,22,179.0,1
186231,52,41.0,3
117476,25,219.0,9
122301,18,208.0,2
20520,61,44.0,8
144722,33,5.0,10
109849,43,302.0,8
29892,46,171.0,8
135930,53,221.0,9
99435,16,121.0,2
49821,58,265.0,9
111333,40,300.0,3
51627,35,100.0,5
85930,28,190.0,1
25883,59,287.0,4
116708,38,146.0,1
189481,37,197.0,9
151476,45,195.0,6
126681,28,130.0,3
164808,25,184.0,3
115541,16,196.0,8
18542,43,274.0,4
108711,15,297.0,6
102988,50,68.0,8
125316,40,238.0,3
194723,46,79.0,7
22903,48,69.0,8
165823,22,117.0,5
115446,13,400.0,5
79535,55,5.0,10
24422,40,245.0,6
27495,48,191.0,8
42149,53,328.0,6
46095,18,191.0,7
196004,20,334.0,5
161524,35,187.0,10
82435,61,5.0,10
185944,25,135.0,10
29378,28,463.0,2
80318,35,171.0,4
5860,51,160.0,8
20740,46,365.0,3
168962,26,155.0,4
57951,44,255.0,9
145852,35,297.0,3
182413,23,197.0,1
130000,46,260.0,7
